DATE,Sales Per Day
1992-01-01,8660.59144332064
1992-02-01,9264.07491267354
1992-03-01,9361.5833564134
1992-04-01,9977.51548387097
1992-05-01,9985.45101715658
1992-06-01,10242.984042796
1992-07-01,9939.4075481575
1992-08-01,9904.04560910277
1992-09-01,9916.20550318471
1992-10-01,10067.7937331089
1992-11-01,10311.2784
1992-12-01,12341.3138402783
1993-01-01,8794.00224403927
1993-02-01,9521.06938005391
1993-03-01,9752.81716686136
1993-04-01,10417.040125
1993-05-01,10378.2731430361
1993-06-01,10673.0134404432
1993-07-01,10431.7792065052
1993-08-01,10364.9757449652
1993-09-01,10382.5847388008
1993-10-01,10301.1389448048
1993-11-01,11025.6162962963
1993-12-01,12941.9139307049
1994-01-01,9094.28657517321
1994-02-01,10107.2961612621
1994-03-01,10791.1808362553
1994-04-01,10958.2257394844
1994-05-01,10891.1576450519
1994-06-01,11406.7251
1994-07-01,10681.4719954787
1994-08-01,11206.4441697337
1994-09-01,11085.8133975904
1994-10-01,10936.1514018772
1994-11-01,11641.2635831663
1994-12-01,13544.7230124766
1995-01-01,9621.24414912111
1995-02-01,10418.4984606646
1995-03-01,10996.4583372395
1995-04-01,10997.1857932851
1995-05-01,11441.3038031453
1995-06-01,11882.5221954098
1995-07-01,10977.0935682708
1995-08-01,11574.5401632946
1995-09-01,11267.2167180157
1995-10-01,10972.7893919869
1995-11-01,11908.0062890625
1995-12-01,13567.3307201849
1996-01-01,9921.05013204078
1996-02-01,10985.918558358
1996-03-01,11277.1040909939
1996-04-01,11610.3920614203
1996-05-01,12027.3352391546
1996-06-01,11879.8606407147
1996-07-01,11492.0427861105
1996-08-01,11884.9675614708
1996-09-01,11352.4756197719
1996-10-01,11674.4280423043
1996-11-01,12141.7687339218
1996-12-01,13703.8417296506
1997-01-01,10416.1122580645
1997-02-01,11328.0698281418
1997-03-01,11654.6643145161
1997-04-01,11760.636247191
1997-05-01,12091.3286969837
1997-06-01,12123.3280424205
1997-07-01,11909.5143997588
1997-08-01,12063.5077900818
1997-09-01,11816.5132630273
1997-10-01,11901.4489819547
1997-11-01,12152.8240718266
1997-12-01,14150.2808879467
1998-01-01,10615.8466983392
1998-02-01,11501.2878699374
1998-03-01,11734.8688731554
1998-04-01,12353.2565316923
1998-05-01,12432.6725806452
1998-06-01,12814.6220392638
1998-07-01,12207.7176019924
1998-08-01,12132.1720259012
1998-09-01,12076.7172249389
1998-10-01,12305.0932895358
1998-11-01,12627.0343097561
1998-12-01,14832.0330036017
1999-01-01,10963.0585200165
1999-02-01,12285.5926869301
1999-03-01,12770.2707096774
1999-04-01,12923.0760216607
1999-05-01,13076.310855945
